language,uni_lemma,lexical_category,category,freq,concreteness,measure,intercept,slope,aoa
Mandarin (Beijing),nose,nouns,body_parts,0.1716900144949365,0.7307412356920582,produces,-5.757977519528626,0.3003588188905701,19.17032947724579
Mandarin (Beijing),nose,nouns,body_parts,0.1716900144949365,0.7307412356920582,understands,-3.566196312573234,0.2996908412511499,11.899583910155782
Mandarin (Beijing),nostril,nouns,body_parts,-1.590462373818534,0.7307412356920582,produces,-8.370804925645192,0.29986839185717074,27.914929192111256
Mandarin (Beijing),nut,nouns,food_drink,-1.3954359548184867,0.3575669623664321,produces,-7.099374006249652,0.3000317055587917,23.662079289345368
Mandarin (Beijing),orange (food),nouns,food_drink,-0.28790557513974313,0.49876803875991277,produces,-5.904285622997106,0.3002377906397051,19.665364611220564
Mandarin (Beijing),orange (food),nouns,food_drink,-0.28790557513974313,0.49876803875991277,understands,-4.657747668094353,0.29963669133465104,15.544650581167708
Mandarin (Beijing),outlet,nouns,household,-0.9655146222230444,0.14576534777621197,produces,-8.732165953165504,0.2999612703753382,29.110978034727754
Mandarin (Beijing),owl,nouns,animals,-0.27213385620034664,0.7710844003759096,produces,-8.024352760980852,0.2998599541014267,26.760334787040755
Mandarin (Beijing),pajamas,nouns,clothing,0.020822506360360798,0.5693685769566531,produces,-8.52558144072808,0.2999385342111474,28.424428568842494
Mandarin (Beijing),palm,nouns,body_parts,-1.6781580093170951,0.6702264886662813,produces,-8.292398499025198,0.2998827937949163,27.652131668134988
Mandarin (Beijing),pancake,nouns,food_drink,-0.770488203222998,0.7004838621791702,produces,-5.755154027581748,0.3001344025811163,19.175256078903924
Mandarin (Beijing),panda,nouns,animals,-0.8670096704260205,0.5895401592985784,produces,-6.764707397260586,0.29996373972335644,22.55175043323364
Mandarin (Beijing),pants,nouns,clothing,-0.18271730891098856,0.7004838621791702,produces,-6.1284744889392195,0.3002168682110628,20.41349150518315
Mandarin (Beijing),pants,nouns,clothing,-0.18271730891098856,0.7004838621791702,understands,-4.344197785447023,0.29977481489662244,14.49153687892401
Mandarin (Beijing),paper,nouns,household,0.30072347164331326,0.7710844003759096,produces,-5.871723503590181,0.3002153819019547,19.558369948904843
Mandarin (Beijing),paper,nouns,household,0.30072347164331326,0.7710844003759096,understands,-4.7011466613682265,0.3000022630209845,15.670370663301936
Mandarin (Beijing),park,nouns,outside,-0.467160275200393,0.5794543681276157,produces,-6.609177111628942,0.3003450202757164,22.005282809622496
Mandarin (Beijing),park,nouns,outside,-0.467160275200393,0.5794543681276157,understands,-5.336431065720378,0.30003908749436997,17.78578621300637
Mandarin (Beijing),pasta,nouns,food_drink,-0.8326383137489538,0.7004838621791702,produces,-5.915838993008235,0.30033144980739274,19.697700646409675
Mandarin (Beijing),pasta,nouns,food_drink,-0.8326383137489538,0.7004838621791702,understands,-4.715571910609256,0.2996598788721921,15.736413991612451
Mandarin (Beijing),peach,nouns,food_drink,-1.2989144876154641,0.7408270268630217,produces,-6.377095038897719,0.29989224788604557,21.264621155932367
